year,gender,race,age_group,death_cause,population,deaths,capita
All,Both,B,45-54,C,6805546,0,0
All,Both,B,55-64,C,4192688,1,0.023851047
All,Both,B,05-09,C,4917122,0,0
All,Both,B,65-74,C,2065204,0,0
All,Both,B,75-84,C,910876,0,0
All,Both,B,85+,C,272812,0,0
All,Both,B,10-14,K,5150587,0,0
All,Both,B,15-19,K,5231008,1,0.019116774
All,Both,B,20-24,K,4785737,4,0.083581693
All,Both,B,25-34,K,8356215,14,0.167539969
All,Both,B,35-44,K,7887257,6,0.076072074
All,Both,B,45-54,K,6805546,7,0.102857287
All,Both,B,55-64,K,4192688,1,0.023851047
All,Both,B,05-09,K,4917122,0,0
All,Both,B,65-74,K,2065204,2,0.096842733
All,Both,B,75-84,K,910876,1,0.109784427
All,Both,B,85+,K,272812,0,0
All,Both,B,10-14,L,5150587,0,0
All,Both,B,15-19,L,5231008,2,0.038233549
All,Both,B,20-24,L,4785737,2,0.041790846
All,Both,B,25-34,L,8356215,4,0.047868563
All,Both,B,35-44,L,7887257,3,0.038036037
All,Both,B,45-54,L,6805546,2,0.029387796
All,Both,B,55-64,L,4192688,1,0.023851047
All,Both,B,05-09,L,4917122,0,0
All,Both,B,65-74,L,2065204,0,0
All,Both,B,75-84,L,910876,0,0
All,Both,B,85+,L,272812,0,0
All,Both,C,10-14,P,14998715,0,0
All,Both,C,15-19,P,15622026,0,0
All,Both,C,20-24,P,17851169,0,0
All,Both,C,25-34,P,39725396,0,0
All,Both,C,35-44,P,36617242,0,0
All,Both,C,45-54,P,29921447,0,0
All,Both,C,55-64,P,20218003,0,0
All,Both,C,05-09,P,15232975,0,0
All,Both,C,65-74,P,11416321,0,0
All,Both,C,75-84,P,5767004,0,0
All,Both,C,85+,P,1764642,0,0
All,Both,C,10-14,H,14998715,3,0.020001713
All,Both,C,15-19,H,15622026,62,0.39687554
All,Both,C,20-24,H,17851169,193,1.081161688
All,Both,C,25-34,H,39725396,377,0.949015083
All,Both,C,35-44,H,36617242,350,0.955833866
All,Both,C,45-54,H,29921447,319,1.06612491
All,Both,C,55-64,H,20218003,194,0.959540861
All,Both,C,05-09,H,15232975,0,0
All,Both,C,65-74,H,11416321,91,0.797104426
All,Both,C,75-84,H,5767004,44,0.762961149
All,Both,C,85+,H,1764642,17,0.963368207
All,Both,C,10-14,G,14998715,82,0.546713502
All,Both,C,15-19,G,15622026,376,2.406858112
All,Both,C,20-24,G,17851169,572,3.204271944
All,Both,C,25-34,G,39725396,1158,2.915011848
All,Both,C,35-44,G,36617242,1019,2.782842028
All,Both,C,45-54,G,29921447,976,3.261874334
All,Both,C,55-64,G,20218003,698,3.452368664
All,Both,C,05-09,G,15232975,3,0.019694118
All,Both,C,65-74,G,11416321,446,3.906687627
All,Both,C,75-84,G,5767004,332,5.756888672
All,Both,C,85+,G,1764642,135,7.65027694
All,Both,C,10-14,D,14998715,1,0.006667238
All,Both,C,15-19,D,15622026,17,0.108820712
All,Both,C,20-24,D,17851169,33,0.184861843
All,Both,C,25-34,D,39725396,70,0.176209697
All,Both,C,35-44,D,36617242,59,0.16112628
All,Both,C,45-54,D,29921447,57,0.190498808
All,Both,C,55-64,D,20218003,38,0.187951303
All,Both,C,05-09,D,15232975,0,0
All,Both,C,65-74,D,11416321,24,0.210225343
All,Both,C,75-84,D,5767004,18,0.31212047
All,Both,C,85+,D,1764642,8,0.453349745
All,Both,C,10-14,F,14998715,23,0.15334647
All,Both,C,15-19,F,15622026,190,1.216231493
All,Both,C,20-24,F,17851169,388,2.173527123
All,Both,C,25-34,F,39725396,776,1.953410357
